Library;Type;Project;Product;Description;Details;Status;Library Type;Creation Time;Modified Date;Changed Status - Comment;Changed Status - User
simpleclient-0.9.0.jar;New Version;rocksdb;besu_produc;Version 0.14.1 is available;;Active;Java;11-11-2021;11-11-2021;;
mockito-core-3.11.2.jar;New Version;rocksdb;besu_produc;Version 4.1.0 is available;;Active;Java;11-11-2021;11-11-2021;;
opentelemetry-api-1.5.0.jar;New Version;rocksdb;besu_produc;Version 1.9.1 is available;;Active;Java;11-11-2021;11-11-2021;;
assertj-core-3.20.2.jar;New Version;rocksdb;besu_produc;Version 3.21.0 is available;;Active;Java;11-11-2021;11-11-2021;;
guava-30.1.1-jre.jar;New Version;rocksdb;besu_produc;Version 31.0.1-jre is available;;Active;Java;11-11-2021;11-11-2021;;
jackson-databind-2.12.4.jar;New Version;rocksdb;besu_produc;Version 2.13.1 is available;;Active;Java;11-11-2021;11-11-2021;;
error_prone_core-2.8.0.jar;New Version;rocksdb;besu_produc;Version 2.10.0 is available;;Active;Java;11-11-2021;11-11-2021;;
rocksdbjni-6.15.2.jar;New Version;rocksdb;besu_produc;Version 6.25.3 is available;;Active;Java;11-11-2021;11-11-2021;;
core-4.8.6.jar;New Version;testutil;besu_produc;Version REF is available;;Active;Java;11-11-2021;11-11-2021;;
vertx-core-3.9.8.jar;New Version;permissioning;besu_produc;Version 4.2.1 is available;;Active;Java;11-11-2021;11-11-2021;;
abi-4.8.6.jar;New Version;permissioning;besu_produc;Version REF is available;;Active;Java;11-11-2021;11-11-2021;;
jna-5.8.0.jar;New Version;core;besu_produc;Version 5.10.0 is available;;Active;Java;11-11-2021;11-11-2021;;
jmh-core-1.29.jar;New Version;core;besu_produc;Version 1.33 is available;;Active;Java;11-11-2021;11-11-2021;;
jmh-generator-bytecode-1.29.jar;New Version;core;besu_produc;Version 1.33 is available;;Active;Java;11-11-2021;11-11-2021;;
jmh-generator-annprocess-1.29.jar;New Version;core;besu_produc;Version 1.33 is available;;Active;Java;11-11-2021;11-11-2021;;
vertx-codegen-3.9.8.jar;New Version;p2p;besu_produc;Version 4.1.4 is available;;Active;Java;11-11-2021;11-11-2021;;
vertx-unit-3.9.8.jar;New Version;p2p;besu_produc;Version 4.2.1 is available;;Active;Java;11-11-2021;11-11-2021;;
kotlin-stdlib-1.4.21-2.jar;New Version;p2p;besu_produc;Version 1.5.31 is available;;Active;Java;11-11-2021;11-11-2021;;
client-java-5.0.0.jar;New Version;nat;besu_produc;Version 13.0.1 is available;;Active;Java;11-11-2021;11-11-2021;;
besu-4.8.6.jar;New Version;privacy-contracts;besu_produc;Version REF is available;;Active;Java;11-11-2021;11-11-2021;;
crypto-4.8.6.jar;New Version;dsl;besu_produc;Version REF is available;;Active;Java;11-11-2021;11-11-2021;;
wiremock-jre8-2.29.1.jar;New Version;dsl;besu_produc;Version 2.31.0 is available;;Active;Java;11-11-2021;11-11-2021;;
graphql-java-16.2.jar;New Version;besu - 1;besu_produc;Version 17.3 is available;;Active;Java;11-11-2021;11-11-2021;;
vertx-web-3.9.8.jar;New Version;besu - 1;besu_produc;Version 4.2.1 is available;;Active;Java;11-11-2021;11-11-2021;;
commons-io-2.11.0.jar;New Version;besu - 1;besu_produc;Version 20030203.000550 is available;;Active;Java;11-11-2021;11-11-2021;;
jackson-datatype-jdk8-2.12.4.jar;New Version;besu - 1;besu_produc;Version 2.13.1 is available;;Active;Java;11-11-2021;11-11-2021;;
jansi-2.3.4.jar;New Version;besu - 1;besu_produc;Version 2.4.0 is available;;Active;Java;11-11-2021;11-11-2021;;
dagger-2.30.1.jar;New Version;evmtool;besu_produc;Version 2.40 is available;;Active;Java;11-11-2021;11-11-2021;;
dagger-compiler-2.30.1.jar;New Version;evmtool;besu_produc;Version 2.40 is available;;Active;Java;11-11-2021;11-11-2021;;
opentelemetry-exporter-otlp-1.5.0.jar;New Version;tests;besu_produc;Version 1.7.1 is available;;Active;Java;11-11-2021;11-11-2021;;
opentelemetry-sdk-1.5.0.jar;New Version;tests;besu_produc;Version 1.7.1 is available;;Active;Java;11-11-2021;11-11-2021;;
grpc-core-1.39.0.jar;New Version;tests;besu_produc;Version 1.42.1 is available;;Active;Java;11-11-2021;11-11-2021;;
grpc-netty-1.39.0.jar;New Version;tests;besu_produc;Version 1.42.0 is available;;Active;Java;11-11-2021;11-11-2021;;
opentelemetry-sdk-trace-1.5.0.jar;New Version;tests;besu_produc;Version 1.7.1 is available;;Active;Java;11-11-2021;11-11-2021;;
wiremock-jre8-standalone-2.29.1.jar;New Version;tests;besu_produc;Version 2.31.0 is available;;Active;Java;11-11-2021;11-11-2021;;
grpc-stub-1.39.0.jar;New Version;tests;besu_produc;Version 1.42.1 is available;;Active;Java;11-11-2021;11-11-2021;;
core-4.8.4.jar;New Version;tests;besu_produc;Version REF is available;;Active;Java;11-11-2021;11-11-2021;;
simpleclient_common-0.9.0.jar;New Version;core - 1;besu_produc;Version 0.14.1 is available;;Active;Java;11-11-2021;11-11-2021;;
simpleclient_hotspot-0.9.0.jar;New Version;core - 1;besu_produc;Version 0.12.0 is available;;Active;Java;11-11-2021;11-11-2021;;
simpleclient_pushgateway-0.9.0.jar;New Version;core - 1;besu_produc;Version 0.12.0 is available;;Active;Java;11-11-2021;11-11-2021;;
error_prone_test_helpers-2.8.0.jar;New Version;errorprone-checks;besu_produc;Version 2.10.0 is available;;Active;Java;11-11-2021;11-11-2021;;
error_prone_annotation-2.8.0.jar;New Version;errorprone-checks;besu_produc;Version 2.10.0 is available;;Active;Java;11-11-2021;11-11-2021;;
error_prone_check_api-2.8.0.jar;New Version;errorprone-checks;besu_produc;Version 2.10.0 is available;;Active;Java;11-11-2021;11-11-2021;;
vertx-auth-jwt-3.9.8.jar;New Version;api;besu_produc;Version 4.2.1 is available;;Active;Java;11-11-2021;11-11-2021;;
opentelemetry-extension-trace-propagators-1.5.0.jar;New Version;api;besu_produc;Version 1.7.1 is available;;Active;Java;11-11-2021;11-11-2021;;